,datetime,detid,flow
358,2015-10-07 00:42:00,K1D43,0.0
359,2015-10-07 00:45:00,K1D43,0.0
360,2015-10-07 00:48:00,K1D43,20.0
361,2015-10-07 00:51:00,K1D43,0.0
362,2015-10-07 00:54:00,K1D43,0.0
363,2015-10-07 00:57:00,K1D43,0.0
364,2015-10-07 01:00:00,K1D43,20.0
365,2015-10-07 01:03:00,K1D43,0.0
366,2015-10-07 01:06:00,K1D43,0.0
367,2015-10-07 01:09:00,K1D43,0.0
368,2015-10-07 01:12:00,K1D43,20.0
369,2015-10-07 01:15:00,K1D43,20.0
370,2015-10-07 01:18:00,K1D43,0.0
371,2015-10-07 01:21:00,K1D43,20.0
372,2015-10-07 01:24:00,K1D43,0.0
373,2015-10-07 01:27:00,K1D43,40.0
374,2015-10-07 01:30:00,K1D43,20.0
375,2015-10-07 01:33:00,K1D43,20.0
376,2015-10-07 01:36:00,K1D43,40.0
377,2015-10-07 01:39:00,K1D43,0.0
378,2015-10-07 01:42:00,K1D43,20.0
379,2015-10-07 01:45:00,K1D43,0.0
380,2015-10-07 01:48:00,K1D43,40.0
381,2015-10-07 01:51:00,K1D43,0.0
382,2015-10-07 01:54:00,K1D43,0.0
383,2015-10-07 01:57:00,K1D43,20.0
384,2015-10-07 02:00:00,K1D43,20.0
385,2015-10-07 02:03:00,K1D43,0.0
386,2015-10-07 02:06:00,K1D43,40.0
387,2015-10-07 02:09:00,K1D43,40.0
388,2015-10-07 02:12:00,K1D43,0.0
389,2015-10-07 02:15:00,K1D43,20.0
390,2015-10-07 02:18:00,K1D43,0.0
391,2015-10-07 02:21:00,K1D43,0.0
392,2015-10-07 02:24:00,K1D43,20.0
393,2015-10-07 02:27:00,K1D43,60.0
394,2015-10-07 02:30:00,K1D43,0.0
395,2015-10-07 02:33:00,K1D43,40.0
396,2015-10-07 02:36:00,K1D43,20.0
397,2015-10-07 02:39:00,K1D43,20.0
398,2015-10-07 02:42:00,K1D43,40.0
399,2015-10-07 02:45:00,K1D43,20.0
400,2015-10-07 02:48:00,K1D43,0.0
401,2015-10-07 02:51:00,K1D43,0.0
402,2015-10-07 02:54:00,K1D43,60.0
403,2015-10-07 02:57:00,K1D43,40.0
404,2015-10-07 03:00:00,K1D43,20.0
405,2015-10-07 03:03:00,K1D43,0.0
406,2015-10-07 03:06:00,K1D43,60.0
407,2015-10-07 03:09:00,K1D43,120.0
408,2015-10-07 03:12:00,K1D43,60.0
409,2015-10-07 03:15:00,K1D43,60.0
410,2015-10-07 03:18:00,K1D43,60.0
411,2015-10-07 03:21:00,K1D43,100.0
412,2015-10-07 03:24:00,K1D43,200.0
413,2015-10-07 03:27:00,K1D43,160.0
414,2015-10-07 03:30:00,K1D43,200.0
415,2015-10-07 03:33:00,K1D43,200.0
416,2015-10-07 03:36:00,K1D43,160.0
417,2015-10-07 03:39:00,K1D43,260.0
418,2015-10-07 03:42:00,K1D43,320.0
419,2015-10-07 03:45:00,K1D43,340.0
420,2015-10-07 03:48:00,K1D43,320.0
421,2015-10-07 03:51:00,K1D43,380.0
422,2015-10-07 03:54:00,K1D43,360.0
423,2015-10-07 03:57:00,K1D43,300.0
424,2015-10-07 04:00:00,K1D43,320.0
425,2015-10-07 04:03:00,K1D43,360.0
426,2015-10-07 04:06:00,K1D43,400.0
427,2015-10-07 04:09:00,K1D43,500.0
428,2015-10-07 04:12:00,K1D43,300.0
429,2015-10-07 04:15:00,K1D43,460.0
430,2015-10-07 04:18:00,K1D43,540.0
431,2015-10-07 04:21:00,K1D43,680.0
432,2015-10-07 04:24:00,K1D43,380.0
433,2015-10-07 04:27:00,K1D43,560.0
434,2015-10-07 04:30:00,K1D43,640.0
435,2015-10-07 04:33:00,K1D43,660.0
436,2015-10-07 04:36:00,K1D43,880.0
437,2015-10-07 04:39:00,K1D43,740.0
438,2015-10-07 04:42:00,K1D43,460.0
439,2015-10-07 04:45:00,K1D43,840.0
440,2015-10-07 04:48:00,K1D43,680.0
441,2015-10-07 04:51:00,K1D43,640.0
442,2015-10-07 04:54:00,K1D43,700.0
443,2015-10-07 04:57:00,K1D43,740.0
444,2015-10-07 05:00:00,K1D43,960.0
445,2015-10-07 05:03:00,K1D43,520.0
446,2015-10-07 05:06:00,K1D43,0.0
447,2015-10-07 05:09:00,K1D43,660.0
448,2015-10-07 05:12:00,K1D43,920.0
449,2015-10-07 05:15:00,K1D43,620.0
450,2015-10-07 05:18:00,K1D43,1020.0
451,2015-10-07 05:21:00,K1D43,760.0
452,2015-10-07 05:24:00,K1D43,980.0
453,2015-10-07 05:27:00,K1D43,580.0
454,2015-10-07 05:30:00,K1D43,620.0
455,2015-10-07 05:33:00,K1D43,980.0
456,2015-10-07 05:36:00,K1D43,800.0
457,2015-10-07 05:39:00,K1D43,840.0
458,2015-10-07 05:42:00,K1D43,680.0
459,2015-10-07 05:45:00,K1D43,820.0
460,2015-10-07 05:48:00,K1D43,540.0
461,2015-10-07 05:51:00,K1D43,720.0
462,2015-10-07 05:54:00,K1D43,860.0
463,2015-10-07 05:57:00,K1D43,840.0
464,2015-10-07 06:00:00,K1D43,880.0
465,2015-10-07 06:03:00,K1D43,720.0
466,2015-10-07 06:06:00,K1D43,520.0
467,2015-10-07 06:09:00,K1D43,900.0
468,2015-10-07 06:12:00,K1D43,480.0
469,2015-10-07 06:15:00,K1D43,1040.0
470,2015-10-07 06:18:00,K1D43,760.0
471,2015-10-07 06:21:00,K1D43,660.0
472,2015-10-07 06:24:00,K1D43,620.0
473,2015-10-07 06:27:00,K1D43,300.0
474,2015-10-07 06:30:00,K1D43,1000.0
475,2015-10-07 06:33:00,K1D43,780.0
476,2015-10-07 06:36:00,K1D43,800.0
477,2015-10-07 06:39:00,K1D43,680.0
478,2015-10-07 06:42:00,K1D43,620.0
479,2015-10-07 06:45:00,K1D43,960.0
480,2015-10-07 06:48:00,K1D43,740.0
481,2015-10-07 06:51:00,K1D43,720.0
482,2015-10-07 06:54:00,K1D43,720.0
483,2015-10-07 06:57:00,K1D43,760.0
484,2015-10-07 07:00:00,K1D43,760.0
