datetime,flow
2016-04-19 14:03:00,580.0
2016-04-19 14:06:00,820.0
2016-04-19 14:09:00,700.0
2016-04-19 14:12:00,700.0
2016-04-19 14:15:00,820.0
2016-04-19 14:18:00,800.0
2016-04-19 14:21:00,440.0
2016-04-19 14:24:00,600.0
2016-04-19 14:27:00,800.0
2016-04-19 14:30:00,600.0
2016-04-19 14:33:00,540.0
2016-04-19 14:36:00,660.0
2016-04-19 14:39:00,860.0
2016-04-19 14:42:00,480.0
2016-04-19 14:45:00,800.0
2016-04-19 14:48:00,800.0
2016-04-19 14:51:00,660.0
2016-04-19 14:54:00,700.0
2016-04-19 14:57:00,540.0
2016-04-19 15:00:00,840.0
2016-04-19 15:03:00,680.0
2016-04-19 15:06:00,820.0
2016-04-19 15:09:00,820.0
2016-04-19 15:12:00,560.0
2016-04-19 15:15:00,880.0
2016-04-19 15:18:00,800.0
2016-04-19 15:21:00,820.0
2016-04-19 15:24:00,720.0
2016-04-19 15:27:00,500.0
2016-04-19 15:30:00,860.0
2016-04-19 15:33:00,680.0
2016-04-19 15:36:00,500.0
2016-04-19 15:39:00,760.0
2016-04-19 15:42:00,580.0
2016-04-19 15:45:00,800.0
2016-04-19 15:48:00,380.0
2016-04-19 15:51:00,620.0
2016-04-19 15:54:00,840.0
2016-04-19 15:57:00,540.0
2016-04-19 16:00:00,720.0
2016-04-19 16:03:00,620.0
2016-04-19 16:06:00,560.0
2016-04-19 16:09:00,720.0
2016-04-19 16:12:00,680.0
2016-04-19 16:15:00,600.0
2016-04-19 16:18:00,660.0
2016-04-19 16:21:00,560.0
2016-04-19 16:24:00,740.0
2016-04-19 16:27:00,680.0
2016-04-19 16:30:00,680.0
2016-04-19 16:33:00,720.0
2016-04-19 16:36:00,520.0
2016-04-19 16:39:00,740.0
2016-04-19 16:42:00,640.0
2016-04-19 16:45:00,840.0
2016-04-19 16:48:00,580.0
2016-04-19 16:51:00,720.0
2016-04-19 16:54:00,800.0
2016-04-19 16:57:00,640.0
2016-04-19 17:00:00,760.0
2016-04-19 17:03:00,700.0
